data,valor
2016-12-01,64248.47
2017-01-01,-26292.56
2017-02-01,28769.48
2017-03-01,11685.93
2017-04-01,-11451.28
2017-05-01,32105.54
2017-06-01,19937.32
2017-07-01,13977.34
2017-08-01,9916.2
2017-09-01,22226.95
2017-10-01,-4967.31
2017-11-01,366.45
2017-12-01,22168.17
2018-01-01,-36530.04
2018-02-01,19004.78
2018-03-01,25531.2
2018-04-01,-5360.05
2018-05-01,11120.27
2018-06-01,14951.46
2018-07-01,2676.94
2018-08-01,20850.51
2018-09-01,24291.86
2018-10-01,-10197.07
2018-11-01,17072.7
2018-12-01,32754.81
2019-01-01,-35606.95
2019-02-01,20612.48
2019-03-01,20399.61
2019-04-01,-6132.96
2019-05-01,13189.83
2019-06-01,12212.15
2019-07-01,1401.6
2019-08-01,16459.37
2019-09-01,20631.08
2019-10-01,-8544.81
2019-11-01,18177.16
2019-12-01,16100.33
2020-01-01,-45469.23
2020-02-01,26892.93
2020-03-01,21380.17
2020-04-01,92164.88
2020-05-01,127092.22
2020-06-01,195180.0
2020-07-01,88141.23
2020-08-01,96471.06
2020-09-01,75147.67
2020-10-01,3209.93
2020-11-01,20393.51
2020-12-01,44661.49
2021-01-01,-43156.41
2021-02-01,22508.14
2021-03-01,-3938.27
2021-04-01,-16265.05
2021-05-01,20923.69
2021-06-01,75082.66
2021-07-01,16842.32
2021-08-01,11092.32
2021-09-01,-708.29
2021-10-01,-29042.4
2021-11-01,-3528.7
2021-12-01,-13937.83
2022-01-01,-77429.54
2022-02-01,19181.07
2022-03-01,7811.43
2022-04-01,-29638.37
2022-05-01,40017.73
2022-06-01,-13710.33
2022-07-01,-19960.52
2022-08-01,49773.21
2022-09-01,-11113.02
2022-10-01,-30244.34
2022-11-01,16524.39
2022-12-01,-6158.37
2023-01-01,-79404.82
2023-02-01,39237.77
2023-03-01,9711.73
2023-04-01,-16885.5
2023-05-01,43187.91
2023-06-01,46479.57
2023-07-01,32477.84
2023-08-01,26181.51
2023-09-01,16505.56
2023-10-01,-19455.64
2023-11-01,38922.66
2023-12-01,127574.19
2024-01-01,-81283.5
2024-02-01,57820.61
2024-03-01,1898.49
2024-04-01,-8762.42
2024-05-01,60778.22
2024-06-01,40188.46
2024-07-01,8617.88
2024-08-01,22328.97
2024-09-01,3974.49
2024-10-01,-39149.98
2024-11-01,5681.26
2024-12-01,-26728.15
2025-01-01,-83149.89
2025-02-01,28516.6
2025-03-01,2305.28
2025-04-01,-16227.06
2025-05-01,37351.13
2025-06-01,43527.04
2025-07-01,56360.57
2025-08-01,15933.99
2025-09-01,14944.23
2025-10-01,-36179.65
2025-11-01,16876.76
2025-12-01,-21571.89
