data,prazo_du,taxa
2026-02-18,124,0.100763
2026-02-18,309,0.081101
2026-02-18,624,0.077255
2026-02-18,808,0.0761
2026-02-18,1122,0.0764
2026-02-18,1308,0.076276
2026-02-18,1626,0.076039
2026-02-18,1813,0.076001
2026-02-18,2312,0.074869
2026-02-18,2813,0.074674
2026-02-18,3631,0.073343
2026-02-18,4818,0.071846
2026-02-18,6133,0.0712
2026-02-18,7322,0.070719
2026-02-18,8639,0.071112
