data_coleta,variavel,mediana
2025-06-04,IPCA_12m,4.7592
2025-06-04,IPCA_12m,4.7188
2025-06-05,IPCA_12m,4.7592
2025-06-05,IPCA_12m,4.7155
2025-06-06,IPCA_12m,4.7592
2025-06-06,IPCA_12m,4.7056
2025-06-09,IPCA_12m,4.7859
2025-06-09,IPCA_12m,4.6968
2025-06-10,IPCA_12m,4.6805
2025-06-10,IPCA_12m,4.6813
2025-06-11,IPCA_12m,4.6906
2025-06-11,IPCA_12m,4.6871
2025-06-12,IPCA_12m,4.6805
2025-06-12,IPCA_12m,4.6829
2025-06-13,IPCA_12m,4.7179
2025-06-13,IPCA_12m,4.7125
2025-06-16,IPCA_12m,4.713
2025-06-16,IPCA_12m,4.7077
2025-06-17,IPCA_12m,4.7179
2025-06-17,IPCA_12m,4.707
2025-06-18,IPCA_12m,4.7179
2025-06-18,IPCA_12m,4.7069
2025-06-20,IPCA_12m,4.676
2025-06-20,IPCA_12m,4.6933
2025-06-23,IPCA_12m,4.6309
2025-06-23,IPCA_12m,4.6554
2025-06-24,IPCA_12m,4.6309
2025-06-24,IPCA_12m,4.657
2025-06-25,IPCA_12m,4.6309
2025-06-25,IPCA_12m,4.6562
2025-06-26,IPCA_12m,4.6229
2025-06-26,IPCA_12m,4.6509
2025-06-27,IPCA_12m,4.5502
2025-06-27,IPCA_12m,4.5398
2025-06-30,IPCA_12m,4.5417
2025-06-30,IPCA_12m,4.6299
2025-07-01,IPCA_12m,4.5417
2025-07-01,IPCA_12m,4.6027
2025-07-02,IPCA_12m,4.546
2025-07-02,IPCA_12m,4.6139
2025-07-03,IPCA_12m,4.546
2025-07-03,IPCA_12m,4.6503
2025-07-04,IPCA_12m,4.6176
2025-07-04,IPCA_12m,4.6903
2025-07-07,IPCA_12m,4.6487
2025-07-07,IPCA_12m,4.689
2025-07-08,IPCA_12m,4.6601
2025-07-08,IPCA_12m,4.6918
2025-07-09,IPCA_12m,4.6487
2025-07-09,IPCA_12m,4.6905
2025-07-10,IPCA_12m,4.6525
2025-07-10,IPCA_12m,4.6612
2025-07-11,IPCA_12m,4.6651
2025-07-11,IPCA_12m,4.6545
2025-07-14,IPCA_12m,4.6651
2025-07-14,IPCA_12m,4.6436
2025-07-15,IPCA_12m,4.6534
2025-07-15,IPCA_12m,4.6341
2025-07-16,IPCA_12m,4.627
2025-07-16,IPCA_12m,4.5947
2025-07-17,IPCA_12m,4.5901
2025-07-17,IPCA_12m,4.5925
2025-07-18,IPCA_12m,4.5183
2025-07-18,IPCA_12m,4.4911
2025-07-21,IPCA_12m,4.5304
2025-07-21,IPCA_12m,4.4882
2025-07-22,IPCA_12m,4.5299
2025-07-22,IPCA_12m,4.4771
2025-07-23,IPCA_12m,4.5299
2025-07-23,IPCA_12m,4.4735
2025-07-24,IPCA_12m,4.5299
2025-07-24,IPCA_12m,4.4687
2025-07-25,IPCA_12m,4.5301
2025-07-25,IPCA_12m,4.4612
2025-07-28,IPCA_12m,4.5241
2025-07-28,IPCA_12m,4.4368
2025-07-29,IPCA_12m,4.5241
2025-07-29,IPCA_12m,4.4315
2025-07-30,IPCA_12m,4.5241
2025-07-30,IPCA_12m,4.4262
2025-07-31,IPCA_12m,4.5078
2025-07-31,IPCA_12m,4.3798
2025-08-01,IPCA_12m,4.5088
2025-08-01,IPCA_12m,4.3913
2025-08-04,IPCA_12m,4.4984
2025-08-04,IPCA_12m,4.3788
2025-08-05,IPCA_12m,4.4718
2025-08-05,IPCA_12m,4.3693
2025-08-06,IPCA_12m,4.5088
2025-08-06,IPCA_12m,4.3781
2025-08-07,IPCA_12m,4.5294
2025-08-07,IPCA_12m,4.3898
2025-08-08,IPCA_12m,4.5215
2025-08-08,IPCA_12m,4.3578
2025-08-11,IPCA_12m,4.482
2025-08-11,IPCA_12m,4.3125
2025-08-12,IPCA_12m,4.3318
2025-08-12,IPCA_12m,4.3399
2025-08-13,IPCA_12m,4.3107
2025-08-13,IPCA_12m,4.3355
2025-08-14,IPCA_12m,4.3143
2025-08-14,IPCA_12m,4.35
2025-08-15,IPCA_12m,4.2791
2025-08-15,IPCA_12m,4.3137
2025-08-18,IPCA_12m,4.2797
2025-08-18,IPCA_12m,4.3513
2025-08-19,IPCA_12m,4.2794
2025-08-19,IPCA_12m,4.3422
2025-08-20,IPCA_12m,4.2799
2025-08-20,IPCA_12m,4.3769
2025-08-21,IPCA_12m,4.2794
2025-08-21,IPCA_12m,4.358
2025-08-22,IPCA_12m,4.1457
2025-08-22,IPCA_12m,4.2602
2025-08-25,IPCA_12m,4.1338
2025-08-25,IPCA_12m,4.2767
2025-08-26,IPCA_12m,4.145
2025-08-26,IPCA_12m,4.3063
2025-08-27,IPCA_12m,4.1338
2025-08-27,IPCA_12m,4.3109
2025-08-28,IPCA_12m,4.1338
2025-08-28,IPCA_12m,4.3286
2025-08-29,IPCA_12m,4.1134
2025-08-29,IPCA_12m,4.3203
2025-09-01,IPCA_12m,4.1335
2025-09-01,IPCA_12m,4.3899
2025-09-02,IPCA_12m,4.1331
2025-09-02,IPCA_12m,4.3816
2025-09-03,IPCA_12m,4.1333
2025-09-03,IPCA_12m,4.4034
2025-09-04,IPCA_12m,4.1333
2025-09-04,IPCA_12m,4.4149
2025-09-05,IPCA_12m,4.2202
2025-09-05,IPCA_12m,4.4765
2025-09-08,IPCA_12m,4.1443
2025-09-08,IPCA_12m,4.4587
2025-09-09,IPCA_12m,4.1859
2025-09-09,IPCA_12m,4.478
2025-09-10,IPCA_12m,4.4832
2025-09-10,IPCA_12m,4.4733
2025-09-11,IPCA_12m,4.4649
2025-09-11,IPCA_12m,4.4433
2025-09-12,IPCA_12m,4.4468
2025-09-12,IPCA_12m,4.4196
2025-09-15,IPCA_12m,4.4479
2025-09-15,IPCA_12m,4.41
2025-09-16,IPCA_12m,4.454
2025-09-16,IPCA_12m,4.4007
2025-09-17,IPCA_12m,4.4479
2025-09-17,IPCA_12m,4.3894
2025-09-18,IPCA_12m,4.4637
2025-09-18,IPCA_12m,4.3816
2025-09-19,IPCA_12m,4.4643
