data,prazo_du,dc,cotacao
2026-02-18,8,12,5.257341
2026-02-18,30,42,5.299220999999999
2026-02-18,50,75,5.332357
2026-02-18,70,103,5.367885
2026-02-18,91,133,5.404342
2026-02-18,114,166,5.442643
2026-02-18,135,195,5.477992
2026-02-18,156,225,5.512399
2026-02-18,177,258,5.544443
2026-02-18,196,286,5.574397
2026-02-18,218,320,5.606029
2026-02-18,238,348,5.639031
2026-02-18,278,407,5.701773
2026-02-18,341,498,5.801159999999999
2026-02-18,363,530,5.835879
2026-02-18,406,590,5.9058649999999995
2026-02-18,469,684,6.006771
2026-02-18,532,775,6.1198559999999995
2026-02-18,593,866,6.230092
2026-02-18,657,957,6.350549
2026-02-18,717,1049,6.459112
2026-02-18,778,1139,6.583067
2026-02-18,841,1230,6.713348
2026-02-18,966,1414,6.979412999999999
2026-02-18,1089,1594,7.248568000000001
2026-02-18,1218,1779,7.547906
